tile,scene_id,datetime,ndwi_mean,ndwi_std,fai_mean,fai_std,rednir_mean,rednir_std,valid_px,chip_id,month_key,chlor_a,kd490,flh,sst,nflh,year,month_num,month_sin,month_cos,season,season_winter,season_spring,season_summer,season_autumn,log_kd490,log_chlor_a,log_nflh,ratio_chl_kd,chl_times_nflh,ratio_nflh_kd,hab_prob,month,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med
S2A_MSIL2A_20170104T065252_R020_T40RDP_20210529T200944_0000.jpg,S2A_MSIL2A_20170104T065252_R020_T40RDP_20210529T200944,2017-01-04 06:52:52.026000+00:00,-0.0943393781781196,7.450580596923828e-09,0.0053180307149887,0.0,0.9110667705535888,1.1920928955078125e-07,16384,2017-01_598ec94c5c8c2566,2017-01,0.50938,0.0726,0.19606,26.81,0.19606,2017,1,0.4999999999999999,0.8660254037844387,winter,1,0,0,0,-2.622790357151387,-0.6745609790842657,-1.629334544148557,7.016253443526172,0.0998690428,2.700550964187328,0.4099220430993064,2017-01,0.8753166198730469,0.1122234016656875,0.4360097646713257
S2A_MSIL2A_20170104T065252_R020_T40RDP_20210529T200944_0001.jpg,S2A_MSIL2A_20170104T065252_R020_T40RDP_20210529T200944,2017-01-04 06:52:52.026000+00:00,-0.0943393781781196,7.450580596923828e-09,0.0053180307149887,0.0,0.9110667705535888,1.1920928955078125e-07,16384,2017-01_47f75b47854cf654,2017-01,0.50938,0.0726,0.19606,26.81,0.19606,2017,1,0.4999999999999999,0.8660254037844387,winter,1,0,0,0,-2.622790357151387,-0.6745609790842657,-1.629334544148557,7.016253443526172,0.0998690428,2.700550964187328,0.4099220430993064,2017-01,0.7607312202453613,0.0905964002013206,0.4341534376144409
S2A_MSIL2A_20170414T064621_R020_T40RDP_20210209T072822_0000.jpg,S2A_MSIL2A_20170414T064621_R020_T40RDP_20210209T072822,2017-04-14 06:46:21.026000+00:00,-0.1577676236629486,0.0,0.0111409723758697,0.0,0.8599137663841248,0.0,16384,2017-04_ae76a035fa5a9178,2017-04,0.0911651,0.0356667,0.0602583,30.68,0.0602583,2017,4,0.8660254037844387,-0.4999999999999998,spring,0,1,0,0,-3.333537798609338,-2.3950831305793785,-2.809114956763219,2.5560284523098575,0.00549345394533,1.68948346777246,0.3922998969120926,2017-04,0.8804478049278259,0.0672788396477699,0.4421517848968506
S2A_MSIL2A_20170414T064621_R020_T40RDP_20210209T072822_0001.jpg,S2A_MSIL2A_20170414T064621_R020_T40RDP_20210209T072822,2017-04-14 06:46:21.026000+00:00,-0.1577676236629486,0.0,0.0111409723758697,0.0,0.8599137663841248,0.0,16384,2017-04_7f25c4472b9f24f8,2017-04,0.0911651,0.0356667,0.0602583,30.68,0.0602583,2017,4,0.8660254037844387,-0.4999999999999998,spring,0,1,0,0,-3.333537798609338,-2.3950831305793785,-2.809114956763219,2.5560284523098575,0.00549345394533,1.68948346777246,0.3922998969120926,2017-04,0.8614392280578613,0.0637445896863937,0.4307716190814972
S2A_MSIL2A_20170504T064631_R020_T40RDP_20210209T125341_0000.jpg,S2A_MSIL2A_20170504T064631_R020_T40RDP_20210209T125341,2017-05-04 06:46:31.026000+00:00,-0.118795521557331,1.4901161193847656e-08,0.0334950983524322,0.0,0.9825419783592224,1.1920928955078125e-07,16384,2017-05_30c1857ba36aeb1a,2017-05,0.0745402,0.0286,0.04561,31.32,0.04561,2017,5,0.4999999999999999,-0.8660254037844387,spring,0,1,0,0,-3.55434856115633,-2.596416701811469,-3.087628288258528,2.606300699300699,0.003399778522,1.5947552447552449,0.4301391616059574,2017-05,0.8722760081291199,0.1066915914416313,0.481734961271286
S2A_MSIL2A_20170504T064631_R020_T40RDP_20210209T125341_0001.jpg,S2A_MSIL2A_20170504T064631_R020_T40RDP_20210209T125341,2017-05-04 06:46:31.026000+00:00,-0.118795521557331,1.4901161193847656e-08,0.0334950983524322,0.0,0.9825419783592224,1.1920928955078125e-07,16384,2017-05_f2d257936bf0826f,2017-05,0.0745402,0.0286,0.04561,31.32,0.04561,2017,5,0.4999999999999999,-0.8660254037844387,spring,0,1,0,0,-3.55434856115633,-2.596416701811469,-3.087628288258528,2.606300699300699,0.003399778522,1.5947552447552449,0.4301391616059574,2017-05,0.8560207486152649,0.0769214704632759,0.5464494228363037
S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339_0000.jpg,S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339,2017-05-24 06:46:31.026000+00:00,-0.136960357427597,1.4901161193847656e-08,0.0146688520908355,0.0,0.8904259204864502,1.788139343261719e-07,16384,2017-05_00c574d0cb412b99,2017-05,0.104382,0.0316,0.0461199,30.055,0.0461199,2017,5,0.4999999999999999,-0.8660254037844387,spring,0,1,0,0,-3.4545981583892704,-2.2596980321916686,-3.076510751840351,3.303227848101266,0.0048140874018,1.4594905063291137,0.4189769713420707,2017-05,0.8921448588371277,0.1640728265047073,0.4174862802028656
S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339_0001.jpg,S2A_MSIL2A_20170524T064631_R020_T40RDP_20210209T174339,2017-05-24 06:46:31.026000+00:00,-0.136960357427597,1.4901161193847656e-08,0.0146688520908355,0.0,0.8904259204864502,1.788139343261719e-07,16384,2017-05_a053a4933bae32cd,2017-05,0.104382,0.0316,0.0461199,30.055,0.0461199,2017,5,0.4999999999999999,-0.8660254037844387,spring,0,1,0,0,-3.4545981583892704,-2.2596980321916686,-3.076510751840351,3.303227848101266,0.0048140874018,1.4594905063291137,0.4189769713420707,2017-05,0.9056188464164734,0.1245254203677177,0.4389182031154632
S2A_MSIL2A_20170613T064621_R020_T40RDP_20210209T223408_0000.jpg,S2A_MSIL2A_20170613T064621_R020_T40RDP_20210209T223408,2017-06-13 06:46:21.026000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,2017-06_34faea962c904a84,2017-06,0.214499,0.0474,0.158745,27.8,0.158745,2017,6,1.2246467991473532e-16,-1.0,summer,0,0,1,0,-3.0491330502811063,-1.5394502026295946,-1.8404561377683395,4.525295358649789,0.034050643755,3.3490506329113927,0.3915422077741236,2017-06,0.7878701686859131,0.0632234662771225,0.4237165451049804
S2A_MSIL2A_20170613T064621_R020_T40RDP_20210209T223408_0001.jpg,S2A_MSIL2A_20170613T064621_R020_T40RDP_20210209T223408,2017-06-13 06:46:21.026000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,2017-06_5cc95e92bf85f0ac,2017-06,0.214499,0.0474,0.158745,27.8,0.158745,2017,6,1.2246467991473532e-16,-1.0,summer,0,0,1,0,-3.0491330502811063,-1.5394502026295946,-1.8404561377683395,4.525295358649789,0.034050643755,3.3490506329113927,0.3915422077741236,2017-06,0.7119006514549255,0.0577847845852375,0.4345534741878509
