iter	Passed	Remaining
0	1	1444
1	2	1249
2	2	1155
3	4	1198
4	4	1176
5	5	1144
6	6	1143
7	7	1123
8	8	1117
9	9	1111
10	10	1096
11	10	1086
12	11	1077
13	12	1072
14	13	1067
15	14	1065
16	15	1084
17	17	1157
18	18	1155
19	19	1152
20	21	1193
21	22	1187
22	23	1194
23	24	1205
24	25	1209
25	26	1206
26	27	1201
27	28	1192
28	30	1217
29	31	1222
30	32	1232
31	33	1226
32	34	1221
33	35	1213
34	36	1206
35	37	1205
36	38	1199
37	39	1202
38	40	1206
39	41	1205
40	42	1202
41	43	1200
42	44	1193
43	45	1187
44	46	1185
45	47	1182
46	48	1187
47	49	1183
48	50	1179
49	51	1173
50	51	1169
51	52	1167
52	53	1164
53	54	1161
54	55	1157
55	56	1153
56	57	1151
57	58	1148
58	59	1145
59	60	1142
60	60	1137
61	61	1135
62	62	1132
63	64	1136
64	65	1136
65	65	1133
66	66	1131
67	68	1132
68	68	1130
69	69	1127
70	70	1123
71	71	1120
72	72	1118
73	73	1115
74	74	1114
75	75	1115
76	76	1114
77	77	1112
78	78	1110
79	79	1106
80	80	1108
81	81	1105
82	82	1105
83	83	1103
84	83	1101
85	84	1100
86	85	1098
87	86	1095
88	87	1096
89	88	1095
90	89	1094
91	90	1094
92	91	1094
93	92	1092
94	93	1089
95	94	1088
96	95	1088
97	96	1090
98	97	1087
99	98	1086
100	99	1084
101	100	1082
102	101	1079
103	102	1078
104	103	1077
105	104	1076
106	105	1075
107	106	1073
108	107	1074
109	108	1072
110	109	1071
111	110	1069
112	111	1068
113	111	1066
114	113	1067
115	114	1066
116	115	1064
117	116	1064
118	116	1062
119	117	1060
120	118	1057
121	119	1056
122	120	1054
123	121	1052
124	122	1051
125	123	1052
126	124	1050
127	125	1048
128	126	1047
129	127	1046
130	128	1047
131	129	1047
132	130	1045
133	131	1044
134	132	1041
135	132	1040
136	134	1039
137	134	1038
138	135	1036
139	136	1034
140	137	1032
141	138	1032
142	139	1032
143	140	1031
144	141	1032
145	142	1031
146	143	1029
147	144	1027
148	145	1029
149	146	1028
150	147	1027
151	148	1027
152	149	1025
153	150	1023
154	151	1022
155	152	1021
156	153	1021
157	154	1021
158	155	1021
159	156	1019
160	157	1017
161	158	1016
162	159	1015
163	160	1015
164	162	1016
165	163	1016
166	164	1014
167	165	1013
168	165	1012
169	166	1010
170	167	1009
171	168	1008
172	169	1007
173	170	1005
174	171	1004
175	172	1003
176	173	1002
177	174	1001
178	175	999
179	176	998
180	177	997
181	177	995
182	178	993
183	179	992
184	180	990
185	181	989
186	182	987
187	183	987
188	184	985
189	185	985
190	186	983
191	187	983
192	188	982
193	189	981
194	190	981
195	191	980
196	192	979
197	193	979
198	194	979
199	195	978
200	196	977
201	197	977
202	198	976
203	199	976
204	200	975
205	201	974
206	202	972
207	203	971
208	204	971
209	205	970
210	206	969
211	207	968
212	208	967
213	210	968
214	211	968
215	213	970
216	214	969
217	214	968
218	215	966
219	216	964
220	217	962
221	218	961
222	219	961
223	220	960
224	221	960
225	222	958
226	223	957
227	225	959
228	226	959
229	227	958
230	228	957
231	229	955
232	229	954
233	230	952
234	231	951
235	232	950
236	233	949
237	234	948
238	235	946
239	236	945
240	237	944
241	238	945
242	239	944
243	240	944
244	241	942
245	242	942
246	244	941
247	245	941
248	246	940
249	247	939
250	248	939
251	249	937
252	250	936
253	251	935
254	252	935
255	253	934
256	254	933
257	255	932
258	256	931
259	257	930
260	258	929
261	259	927
262	260	926
263	260	924
264	261	923
265	262	922
266	263	921
267	264	920
268	265	919
269	266	918
270	267	917
271	268	916
272	269	915
273	270	915
274	271	914
275	272	913
276	273	911
277	275	912
278	276	911
279	276	909
280	277	908
281	278	907
282	279	905
283	280	904
284	281	903
285	282	901
286	283	901
287	284	900
288	285	899
289	286	898
290	287	897
291	288	895
292	288	894
293	290	893
294	291	893
295	292	892
296	292	890
297	293	889
298	294	888
299	295	887
300	296	886
