scene_id,datetime,collection,cloudcov,tile,xmin,ymin,xmax,ymax
S2A_MSIL2A_20200928T065651_R063_T39QXG_20201001T020408,2020-09-28 06:56:51.024000+00:00,sentinel-2-l2a,0.176539,S2A_MSIL2A_20200928T065651_R063_T39QXG_20201001T020408_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20200928T065651_R063_T39QXG_20201001T020408,2020-09-28 06:56:51.024000+00:00,sentinel-2-l2a,0.176539,S2A_MSIL2A_20200928T065651_R063_T39QXG_20201001T020408_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20200926T070639_R106_T39QXG_20200928T023147,2020-09-26 07:06:39.024000+00:00,sentinel-2-l2a,1.194234,S2B_MSIL2A_20200926T070639_R106_T39QXG_20200928T023147_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20200926T070639_R106_T39QXG_20200928T023147,2020-09-26 07:06:39.024000+00:00,sentinel-2-l2a,1.194234,S2B_MSIL2A_20200926T070639_R106_T39QXG_20200928T023147_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20200923T065629_R063_T39QXG_20201028T044418,2020-09-23 06:56:29.024000+00:00,sentinel-2-l2a,1.389302,S2B_MSIL2A_20200923T065629_R063_T39QXG_20201028T044418_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20200923T065629_R063_T39QXG_20201028T044418,2020-09-23 06:56:29.024000+00:00,sentinel-2-l2a,1.389302,S2B_MSIL2A_20200923T065629_R063_T39QXG_20201028T044418_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20200921T070631_R106_T39QXG_20200924T112538,2020-09-21 07:06:31.024000+00:00,sentinel-2-l2a,7.250508,S2A_MSIL2A_20200921T070631_R106_T39QXG_20200924T112538_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20200921T070631_R106_T39QXG_20200924T112538,2020-09-21 07:06:31.024000+00:00,sentinel-2-l2a,7.250508,S2A_MSIL2A_20200921T070631_R106_T39QXG_20200924T112538_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20200918T065631_R063_T39QXG_20200921T101042,2020-09-18 06:56:31.024000+00:00,sentinel-2-l2a,0.121944,S2A_MSIL2A_20200918T065631_R063_T39QXG_20200921T101042_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20200918T065631_R063_T39QXG_20200921T101042,2020-09-18 06:56:31.024000+00:00,sentinel-2-l2a,0.121944,S2A_MSIL2A_20200918T065631_R063_T39QXG_20200921T101042_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20200916T070619_R106_T39QXG_20200919T223307,2020-09-16 07:06:19.024000+00:00,sentinel-2-l2a,3.073025,S2B_MSIL2A_20200916T070619_R106_T39QXG_20200919T223307_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20200916T070619_R106_T39QXG_20200919T223307,2020-09-16 07:06:19.024000+00:00,sentinel-2-l2a,3.073025,S2B_MSIL2A_20200916T070619_R106_T39QXG_20200919T223307_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20200913T065629_R063_T39QXG_20201027T093056,2020-09-13 06:56:29.024000+00:00,sentinel-2-l2a,0.392464,S2B_MSIL2A_20200913T065629_R063_T39QXG_20201027T093056_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20200913T065629_R063_T39QXG_20201027T093056,2020-09-13 06:56:29.024000+00:00,sentinel-2-l2a,0.392464,S2B_MSIL2A_20200913T065629_R063_T39QXG_20201027T093056_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20200911T070631_R106_T39QXG_20200913T080210,2020-09-11 07:06:31.024000+00:00,sentinel-2-l2a,3.524832,S2A_MSIL2A_20200911T070631_R106_T39QXG_20200913T080210_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20200911T070631_R106_T39QXG_20200913T080210,2020-09-11 07:06:31.024000+00:00,sentinel-2-l2a,3.524832,S2A_MSIL2A_20200911T070631_R106_T39QXG_20200913T080210_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20200908T065631_R063_T39QXG_20201027T154720,2020-09-08 06:56:31.024000+00:00,sentinel-2-l2a,2.059197,S2A_MSIL2A_20200908T065631_R063_T39QXG_20201027T154720_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20200908T065631_R063_T39QXG_20201027T154720,2020-09-08 06:56:31.024000+00:00,sentinel-2-l2a,2.059197,S2A_MSIL2A_20200908T065631_R063_T39QXG_20201027T154720_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20200906T070629_R106_T39QXG_20200908T165312,2020-09-06 07:06:29.024000+00:00,sentinel-2-l2a,4.681278,S2B_MSIL2A_20200906T070629_R106_T39QXG_20200908T165312_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20200906T070629_R106_T39QXG_20200908T165312,2020-09-06 07:06:29.024000+00:00,sentinel-2-l2a,4.681278,S2B_MSIL2A_20200906T070629_R106_T39QXG_20200908T165312_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20200903T065629_R063_T39QXG_20201027T145703,2020-09-03 06:56:29.024000+00:00,sentinel-2-l2a,1.665565,S2B_MSIL2A_20200903T065629_R063_T39QXG_20201027T145703_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20200903T065629_R063_T39QXG_20201027T145703,2020-09-03 06:56:29.024000+00:00,sentinel-2-l2a,1.665565,S2B_MSIL2A_20200903T065629_R063_T39QXG_20201027T145703_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20200901T070631_R106_T39QXG_20200907T221436,2020-09-01 07:06:31.024000+00:00,sentinel-2-l2a,12.672325,S2A_MSIL2A_20200901T070631_R106_T39QXG_20200907T221436_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20200901T070631_R106_T39QXG_20200907T221436,2020-09-01 07:06:31.024000+00:00,sentinel-2-l2a,12.672325,S2A_MSIL2A_20200901T070631_R106_T39QXG_20200907T221436_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20200829T065631_R063_T39QXG_20200907T153502,2020-08-29 06:56:31.024000+00:00,sentinel-2-l2a,2.763561,S2A_MSIL2A_20200829T065631_R063_T39QXG_20200907T153502_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20200829T065631_R063_T39QXG_20200907T153502,2020-08-29 06:56:31.024000+00:00,sentinel-2-l2a,2.763561,S2A_MSIL2A_20200829T065631_R063_T39QXG_20200907T153502_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20200824T065629_R063_T39QXG_20200827T163244,2020-08-24 06:56:29.024000+00:00,sentinel-2-l2a,3.005561,S2B_MSIL2A_20200824T065629_R063_T39QXG_20200827T163244_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20200824T065629_R063_T39QXG_20200827T163244,2020-08-24 06:56:29.024000+00:00,sentinel-2-l2a,3.005561,S2B_MSIL2A_20200824T065629_R063_T39QXG_20200827T163244_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20200819T065631_R063_T39QXG_20200908T221844,2020-08-19 06:56:31.024000+00:00,sentinel-2-l2a,5.573323,S2A_MSIL2A_20200819T065631_R063_T39QXG_20200908T221844_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20200819T065631_R063_T39QXG_20200908T221844,2020-08-19 06:56:31.024000+00:00,sentinel-2-l2a,5.573323,S2A_MSIL2A_20200819T065631_R063_T39QXG_20200908T221844_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20200814T065629_R063_T39QXG_20200816T060916,2020-08-14 06:56:29.024000+00:00,sentinel-2-l2a,31.969511,S2B_MSIL2A_20200814T065629_R063_T39QXG_20200816T060916_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
