scene_id,datetime,collection,cloudcov,tile,xmin,ymin,xmax,ymax
S2B_MSIL2A_20180331T070619_R106_T39QXG_20201013T171713,2018-03-31 07:06:19.027000+00:00,sentinel-2-l2a,20.080677,S2B_MSIL2A_20180331T070619_R106_T39QXG_20201013T171713_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20180331T070619_R106_T39QXG_20201013T171713,2018-03-31 07:06:19.027000+00:00,sentinel-2-l2a,20.080677,S2B_MSIL2A_20180331T070619_R106_T39QXG_20201013T171713_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20180328T065919_R063_T39QXG_20201013T154107,2018-03-28 06:59:19.027000+00:00,sentinel-2-l2a,4.552068,S2B_MSIL2A_20180328T065919_R063_T39QXG_20201013T154107_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20180328T065919_R063_T39QXG_20201013T154107,2018-03-28 06:59:19.027000+00:00,sentinel-2-l2a,4.552068,S2B_MSIL2A_20180328T065919_R063_T39QXG_20201013T154107_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20180326T070621_R106_T39QXG_20201013T142420,2018-03-26 07:06:21.026000+00:00,sentinel-2-l2a,7.850535,S2A_MSIL2A_20180326T070621_R106_T39QXG_20201013T142420_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20180326T070621_R106_T39QXG_20201013T142420,2018-03-26 07:06:21.026000+00:00,sentinel-2-l2a,7.850535,S2A_MSIL2A_20180326T070621_R106_T39QXG_20201013T142420_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706,2018-03-23 06:56:21.026000+00:00,sentinel-2-l2a,4.673999,S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706,2018-03-23 06:56:21.026000+00:00,sentinel-2-l2a,4.673999,S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20180321T070619_R106_T39QXG_20201013T121532,2018-03-21 07:06:19.027000+00:00,sentinel-2-l2a,10.057155,S2B_MSIL2A_20180321T070619_R106_T39QXG_20201013T121532_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20180321T070619_R106_T39QXG_20201013T121532,2018-03-21 07:06:19.027000+00:00,sentinel-2-l2a,10.057155,S2B_MSIL2A_20180321T070619_R106_T39QXG_20201013T121532_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
