plant_id,name,lat,lon,country,capacity_m3_day,osm_type,osm_id,operator,tags_json
osm:relation/12252212,Sultan Qaboos Grand Mosque Sohar,24.3127017,56.7569191,,,relation,12252212,,"{""@id"": ""relation/12252212"", ""amenity"": ""place_of_worship"", ""building"": ""yes"", ""name"": ""Sultan Qaboos Grand Mosque Sohar"", ""name:en"": ""Sultan Qaboos Grand Mosque Sohar"", ""religion"": ""muslim"", ""type"": ""multipolygon"", ""@geometry"": ""center""}"
osm:relation/15990136,Old Muscat Market,23.6214801,58.5621642,,,relation,15990136,,"{""@id"": ""relation/15990136"", ""name"": ""Old Muscat Market"", ""place"": ""neighbourhood"", ""type"": ""multipolygon"", ""@geometry"": ""center""}"
osm:way/33812294,Former Salalah International Airport (now defunct),17.0375299,54.1066742,,,way,33812294,,"{""@id"": ""way/33812294"", ""amenity"": ""parking"", ""name"": ""Former Salalah International Airport (now defunct)"", ""parking"": ""surface"", ""@geometry"": ""center""}"
osm:way/35977043,Grand Hyatt Muscat,23.6090403,58.444307,,,way,35977043,Hyatt,"{""@id"": ""way/35977043"", ""addr:city"": ""حي الصاروج  As Saruj St"", ""addr:housenumber"": ""3032"", ""air_conditioning"": ""yes"", ""bar"": ""yes"", ""brand"": ""Grand Hyatt"", ""brand:wikidata"": ""Q115794899"", ""building"": ""yes"", ""contact:facebook"": ""GrandHyattMuscat"", ""internet_access"": ""yes"", ""internet_access:fee"": ""no"", ""name"": ""Grand Hyatt Muscat"", ""opening_hours"": ""24/7"", ""operator"": ""Hyatt"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:maestro"": ""yes"", ""payment:mastercard"": ""yes"", ""payment:visa"": ""yes"", ""phone"": ""+968 24641234"", ""reservation"": ""yes"", ""smoking"": ""outside"", ""stars"": ""5"", ""tourism"": ""hotel"", ""website"": ""https://www.hyatt.com/grand-hyatt/en-US/musca-grand-hyatt-muscat"", ""wheelchair"": ""yes"", ""wikidata"": ""Q5594656"", ""wikimedia_commons"": ""Category:Grand Hyatt Muscat"", ""@geometry"": ""center""}"
osm:node/10058657405,W Muscat,23.616575,58.4661817,,,node,10058657405,,"{""@id"": ""node/10058657405"", ""brand"": ""W Hotels"", ""brand:wikidata"": ""Q7958488"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name"": ""W Muscat"", ""phone"": ""+96822120000"", ""short_name"": ""W"", ""stars"": ""5"", ""start_date"": ""2019"", ""tourism"": ""hotel"", ""website"": ""https://www.marriott.com/en-us/hotels/mctwh-w-muscat/""}"
osm:way/36057542,Muscat City Centre Car Parking,23.6005977,58.2480648,,,way,36057542,,"{""@id"": ""way/36057542"", ""amenity"": ""parking"", ""fee"": ""no"", ""name"": ""Muscat City Centre Car Parking"", ""parking"": ""multi-storey"", ""@geometry"": ""center""}"
osm:node/4966542278,Arabia Falcon Insurance Co.,23.5976249,58.548305,,,node,4966542278,,"{""@id"": ""node/4966542278"", ""addr:street"": ""سكة 2732"", ""name"": ""Arabia Falcon Insurance Co."", ""name:ar"": ""العربية فالكون للتأمين"", ""office"": ""insurance"", ""source"": ""Kaart Ground Survey 2017""}"
osm:way/672861797,Hilton Garden Inn Muscat Al Khuwair,23.5940173,58.4204645,,,way,672861797,Hilton,"{""@id"": ""way/672861797"", ""addr:city"": ""Al Khuwair, Muscat"", ""addr:postcode"": ""118"", ""addr:street"": ""Dohat Al Adab Street"", ""brand"": ""Hilton Garden Inn"", ""brand:wikidata"": ""Q1162859"", ""brand:wikipedia"": ""en:Hilton Garden Inn"", ""building"": ""yes"", ""contact:facebook"": ""https://www.facebook.com/HiltonGardenInnMuscatAlKhuwair"", ""contact:instagram"": ""https://www.instagram.com/hiltongardeninnmuscat"", ""contact:linkedin"": ""https://www.linkedin.com/company/hiltongardeninnmuscat"", ""contact:twitter"": ""https://twitter.com/hiltongi_muscat"", ""email"": ""mctak_reservations@hilton.com"", ""fax"": ""+968 2252 2000"", ""internet_access"": ""yes"", ""internet_access:fee"": ""no"", ""name"": ""Hilton Garden Inn Muscat Al Khuwair"", ""name:ar"": ""هيلتون جاردن إن مسقط الخوير"", ""operator"": ""Hilton"", ""phone"": ""+968-22-515555"", ""rooms"": ""232"", ""stars"": ""4"", ""tourism"": ""hotel"", ""website"": ""https://www.hilton.com/en/hotels/mctakgi-hilton-garden-inn-muscat-al-khuwair/"", ""wheelchair"": ""yes"", ""@geometry"": ""center""}"
osm:way/95403400,Sohar Sanniya Park Road,24.3392524,56.6848806,,,way,95403400,,"{""@id"": ""way/95403400"", ""highway"": ""unclassified"", ""name"": ""Sohar Sanniya Park Road"", ""name:en"": ""Sohar Sanniya Park Road"", ""@geometry"": ""center""}"
osm:way/119304774,Ghubrah Lake Park,23.6011945,58.4019459,,,way,119304774,,"{""@id"": ""way/119304774"", ""leisure"": ""park"", ""name"": ""Ghubrah Lake Park"", ""@geometry"": ""center""}"
osm:way/125152717,Muscat Expressway J8,23.5626734,58.3360551,,,way,125152717,,"{""@id"": ""way/125152717"", ""destination"": ""Nizwa;al Seeb;Suhar"", ""highway"": ""motorway_link"", ""lanes"": ""1"", ""lit"": ""yes"", ""name"": ""Muscat Expressway J8"", ""oneway"": ""yes"", ""surface"": ""asphalt"", ""@geometry"": ""center""}"
osm:way/125849640,Muscat Oasis Residences,23.5818635,58.4095514,,,way,125849640,,"{""@id"": ""way/125849640"", ""building"": ""apartments"", ""name"": ""Muscat Oasis Residences"", ""@geometry"": ""center""}"
osm:way/507647926,Salalah House,17.0173872,54.0986372,,,way,507647926,,"{""@id"": ""way/507647926"", ""addr:city"": ""صلالة"", ""addr:street"": ""شارع 23 يوليو"", ""building"": ""yes"", ""name"": ""Salalah House"", ""@geometry"": ""center""}"
osm:node/4688093957,Muscat Pharmacy,23.6161749,58.5412416,,,node,4688093957,Muscat Pharmacy,"{""@id"": ""node/4688093957"", ""addr:city"": ""Muscat"", ""addr:street"": ""Darsait"", ""amenity"": ""pharmacy"", ""name"": ""Muscat Pharmacy"", ""operator"": ""Muscat Pharmacy"", ""source"": ""Kaart Ground Survey 2017""}"
osm:way/181915068,Barka Fort,23.708602,57.8951186,,,way,181915068,,"{""@id"": ""way/181915068"", ""building"": ""yes"", ""historic"": ""castle"", ""name"": ""Barka Fort"", ""name:ar"": ""حصن بركاء"", ""name:ml"": ""ബർക്ക കോട്ട"", ""tourism"": ""attraction"", ""wikidata"": ""Q10283777"", ""@geometry"": ""center""}"
osm:way/200263242,Muscat Gate Museum,23.6186763,58.5858571,,,way,200263242,,"{""@id"": ""way/200263242"", ""name"": ""Muscat Gate Museum"", ""tourism"": ""museum"", ""@geometry"": ""center""}"
osm:way/202217580,Kitesurf Shop,23.7775938,57.7813955,,,way,202217580,,"{""@id"": ""way/202217580"", ""building"": ""yes"", ""name"": ""Kitesurf Shop"", ""@geometry"": ""center""}"
osm:way/202217582,Muscat,23.7764696,57.7844856,,,way,202217582,,"{""@id"": ""way/202217582"", ""building"": ""yes"", ""name"": ""Muscat"", ""ref"": ""161-170, 261-270"", ""@geometry"": ""center""}"
osm:way/215088759,Animal enclosure,17.1392788,54.733531,,,way,215088759,,"{""@id"": ""way/215088759"", ""landuse"": ""farmland"", ""name"": ""Animal enclosure"", ""source"": ""Bing Aerial"", ""@geometry"": ""center""}"
osm:way/223295994,Ramada Encore by Wyndham Muscat Al-Ghubra,23.5865186,58.4060796,,,way,223295994,,"{""@id"": ""way/223295994"", ""brand"": ""Ramada"", ""brand:wikidata"": ""Q1502859"", ""building"": ""yes"", ""building:levels"": ""9"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""customers"", ""name"": ""Ramada Encore by Wyndham Muscat Al-Ghubra"", ""tourism"": ""hotel"", ""website"": ""https://www.wyndhamhotels.com/ramada/muscat-oman/ramada-encore-muscat-al-ghubra/overview"", ""@geometry"": ""center""}"
