plant_id,name,lat,lon,country,capacity_m3_day,osm_type,osm_id,operator,tags_json
osm:way/35977043,Grand Hyatt Muscat,23.6090403,58.444307,,,way,35977043,Hyatt,"{""@id"": ""way/35977043"", ""addr:city"": ""حي الصاروج  As Saruj St"", ""addr:housenumber"": ""3032"", ""air_conditioning"": ""yes"", ""bar"": ""yes"", ""brand"": ""Grand Hyatt"", ""brand:wikidata"": ""Q115794899"", ""building"": ""yes"", ""contact:facebook"": ""GrandHyattMuscat"", ""internet_access"": ""yes"", ""internet_access:fee"": ""no"", ""name"": ""Grand Hyatt Muscat"", ""opening_hours"": ""24/7"", ""operator"": ""Hyatt"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:maestro"": ""yes"", ""payment:mastercard"": ""yes"", ""payment:visa"": ""yes"", ""phone"": ""+968 24641234"", ""reservation"": ""yes"", ""smoking"": ""outside"", ""stars"": ""5"", ""tourism"": ""hotel"", ""website"": ""https://www.hyatt.com/grand-hyatt/en-US/musca-grand-hyatt-muscat"", ""wheelchair"": ""yes"", ""wikidata"": ""Q5594656"", ""wikimedia_commons"": ""Category:Grand Hyatt Muscat"", ""@geometry"": ""center""}"
osm:way/229986929,Muscat Media Group,23.5935479,58.4259091,,,way,229986929,,"{""@id"": ""way/229986929"", ""building"": ""yes"", ""name"": ""Muscat Media Group"", ""website"": ""https://flammaintl.com/"", ""@geometry"": ""center""}"
osm:way/449632054,Sur Desalination Plant,22.6220753,59.4529725,,,way,449632054,,"{""@id"": ""way/449632054"", ""building"": ""industrial"", ""name"": ""Sur Desalination Plant"", ""@geometry"": ""center""}"
osm:way/1273598307,Golden Tulip Muscat,23.5943318,58.4133646,,,way,1273598307,,"{""@id"": ""way/1273598307"", ""addr:city"": ""Muscat"", ""addr:postcode"": ""133"", ""addr:street"": ""Sultan Qaboos St"", ""category"": ""Hotel"", ""description"": ""Golden Tulip Muscat hotel offers 175 modern rooms blending contemporary style with Omani charm. Each room features plush amenities ensuring a comfortable stay."", ""image"": ""https://media.iceportal.com/166408/photos/78213636_XXL.jpg"", ""name"": ""Golden Tulip Muscat"", ""name:ar"": ""جولدن توليب مسقط"", ""source"": ""https://muscat.goldentulip.com/en-us/;survey"", ""website"": ""https://muscat.goldentulip.com/en-us/"", ""@geometry"": ""center""}"
osm:node/4968727866,The New Media Assurance Co.,23.6808326,58.1868982,,,node,4968727866,,"{""@id"": ""node/4968727866"", ""addr:street"": ""Wadi al Bahais Street"", ""fixme"": ""name"", ""name"": ""The New Media Assurance Co."", ""office"": ""company"", ""source"": ""Kaart Ground Survey 2017""}"
osm:way/368173509,محطة تحلية مياه الصرف الصحي,22.9875033,57.3387918,,,way,368173509,,"{""@id"": ""way/368173509"", ""highway"": ""unclassified"", ""name"": ""محطة تحلية مياه الصرف الصحي"", ""oneway"": ""no"", ""@geometry"": ""center""}"
osm:way/386838289,محطة تحلية المياة والطاقة بالغبرة,23.6018997,58.4137212,,,way,386838289,Al Ghubrah Power and Desalination Company SAOC,"{""@id"": ""way/386838289"", ""landuse"": ""industrial"", ""name"": ""محطة تحلية المياة والطاقة بالغبرة"", ""name:en"": ""Ghubrah Power & Desalination Plant"", ""name:fa"": ""نیروگاه و نمک‌زدایی آب غبره"", ""operator"": ""Al Ghubrah Power and Desalination Company SAOC"", ""plant:output:electricity"": ""190 MW"", ""plant:source"": ""gas"", ""power"": ""plant"", ""@geometry"": ""center""}"
osm:way/897718173,محطة تحلية مياه الصرف الصحي,22.9847507,57.3435253,,,way,897718173,,"{""@id"": ""way/897718173"", ""highway"": ""unclassified"", ""name"": ""محطة تحلية مياه الصرف الصحي"", ""oneway"": ""no"", ""@geometry"": ""center""}"
osm:way/1079022886,محطة تحلية المياه,25.6716585,56.2667608,,,way,1079022886,,"{""@id"": ""way/1079022886"", ""building"": ""yes"", ""name"": ""محطة تحلية المياه"", ""@geometry"": ""center""}"
osm:way/1236881046,Sharqiyah Desalination solar farm,21.9310725,59.6321193,,,way,1236881046,Total Energies,"{""@id"": ""way/1236881046"", ""name"": ""Sharqiyah Desalination solar farm"", ""operator"": ""Total Energies"", ""plant:method"": ""photovoltaic"", ""plant:output:electricity"": ""17 MW"", ""plant:source"": ""solar"", ""power"": ""plant"", ""@geometry"": ""center""}"
osm:node/7973109137,FanoosPro,23.6404927,58.2039874,,,node,7973109137,,"{""@id"": ""node/7973109137"", ""description"": ""Media Production and Social Media Management Services and Interior Design"", ""ele"": ""Al Salam Tower - Second Floor - Office 22"", ""image"": ""https://www.instagram.com/fanoospro/"", ""name"": ""FanoosPro""}"
