dataset,scene_id,datetime,datetime_iso,year,season,tile,tile_srcpath,chlor_a,flh,kd490,valid_px,tile_outpath
aerial_summer_2018,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028,2018-09-09 06:56:21.024000+00:00,2018-09-09T06:56:21Z,2018,autumn,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0000.jpg,data/aerial_summer_2018/tiles_png/S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0000.jpg,1.51576,0.456075,0.1302,16384,qc/hab_hits_inspect/aerial_summer_2018_2018-09-09T065621Z_S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0000.jpg
aerial_summer_2018,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028,2018-09-09 06:56:21.024000+00:00,2018-09-09T06:56:21Z,2018,autumn,S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0001.jpg,data/aerial_summer_2018/tiles_png/S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0001.jpg,1.51576,0.456075,0.1302,16384,qc/hab_hits_inspect/aerial_summer_2018_2018-09-09T065621Z_S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0001.jpg
aerial_winter_2017,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226,2018-03-03 06:58:01.026000+00:00,2018-03-03T06:58:01Z,2018,spring,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0000.jpg,data/aerial_winter_2017/tiles_png/S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0000.jpg,9.97179,0.67053,2.2442,16384,qc/hab_hits_inspect/aerial_winter_2017_2018-03-03T065801Z_S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0000.jpg
aerial_winter_2017,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226,2018-03-03 06:58:01.026000+00:00,2018-03-03T06:58:01Z,2018,spring,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0001.jpg,data/aerial_winter_2017/tiles_png/S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0001.jpg,9.97179,0.67053,2.2442,16384,qc/hab_hits_inspect/aerial_winter_2017_2018-03-03T065801Z_S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0001.jpg
aerial_winter_2017,S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320,2018-02-26 06:58:29.027000+00:00,2018-02-26T06:58:29Z,2018,winter,S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320_0000.jpg,data/aerial_winter_2017/tiles_png/S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320_0000.jpg,9.97179,0.67053,2.2442,16384,qc/hab_hits_inspect/aerial_winter_2017_2018-02-26T065829Z_S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320_0000.jpg
aerial_winter_2017,S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320,2018-02-26 06:58:29.027000+00:00,2018-02-26T06:58:29Z,2018,winter,S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320_0001.jpg,data/aerial_winter_2017/tiles_png/S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320_0001.jpg,9.97179,0.67053,2.2442,16384,qc/hab_hits_inspect/aerial_winter_2017_2018-02-26T065829Z_S2B_MSIL2A_20180226T065829_R063_T39QXG_20201104T154320_0001.jpg
aerial_winter_2020,S2B_MSIL2A_20210131T070119_R063_T39QXG_20210201T152028,2021-01-31 07:01:19.024000+00:00,2021-01-31T07:01:19Z,2021,winter,S2B_MSIL2A_20210131T070119_R063_T39QXG_20210201T152028_0000.jpg,data/aerial_winter_2020/tiles_png/S2B_MSIL2A_20210131T070119_R063_T39QXG_20210201T152028_0000.jpg,1.7707,0.613948,0.1446,16384,qc/hab_hits_inspect/aerial_winter_2020_2021-01-31T070119Z_S2B_MSIL2A_20210131T070119_R063_T39QXG_20210201T152028_0000.jpg
aerial_winter_2020,S2B_MSIL2A_20210131T070119_R063_T39QXG_20210201T152028,2021-01-31 07:01:19.024000+00:00,2021-01-31T07:01:19Z,2021,winter,S2B_MSIL2A_20210131T070119_R063_T39QXG_20210201T152028_0001.jpg,data/aerial_winter_2020/tiles_png/S2B_MSIL2A_20210131T070119_R063_T39QXG_20210201T152028_0001.jpg,1.7707,0.613948,0.1446,16384,qc/hab_hits_inspect/aerial_winter_2020_2021-01-31T070119Z_S2B_MSIL2A_20210131T070119_R063_T39QXG_20210201T152028_0001.jpg
aerial_winter_2020,S2A_MSIL2A_20210126T070151_R063_T39QXG_20210201T045017,2021-01-26 07:01:51.024000+00:00,2021-01-26T07:01:51Z,2021,winter,S2A_MSIL2A_20210126T070151_R063_T39QXG_20210201T045017_0000.jpg,data/aerial_winter_2020/tiles_png/S2A_MSIL2A_20210126T070151_R063_T39QXG_20210201T045017_0000.jpg,1.7707,0.613948,0.1446,16384,qc/hab_hits_inspect/aerial_winter_2020_2021-01-26T070151Z_S2A_MSIL2A_20210126T070151_R063_T39QXG_20210201T045017_0000.jpg
aerial_winter_2020,S2A_MSIL2A_20210126T070151_R063_T39QXG_20210201T045017,2021-01-26 07:01:51.024000+00:00,2021-01-26T07:01:51Z,2021,winter,S2A_MSIL2A_20210126T070151_R063_T39QXG_20210201T045017_0001.jpg,data/aerial_winter_2020/tiles_png/S2A_MSIL2A_20210126T070151_R063_T39QXG_20210201T045017_0001.jpg,1.7707,0.613948,0.1446,16384,qc/hab_hits_inspect/aerial_winter_2020_2021-01-26T070151Z_S2A_MSIL2A_20210126T070151_R063_T39QXG_20210201T045017_0001.jpg
