feature,setting,importance_mean
chl_times_nflh,FULL,0.10508612568159001
chlor_a,FULL,0.013742668530564462
fai_mean,FULL,0.008035362073823566
kd490,FULL,0.00023809523809523725
log_chlor_a,FULL,0.005274725274725256
log_kd490,FULL,0.009467248437836672
log_nflh,FULL,0.017944730705078057
month_cos,FULL,0.0
month_num,FULL,0.01940956680557705
month_sin,FULL,0.00609781242463755
ndwi_mean,FULL,-0.003898635477582779
ndwi_std,FULL,0.028691922112974742
nflh,FULL,0.013245988903883689
p_frcnn_mb_med,FULL,0.0
p_frcnn_r50_med,FULL,-0.0003824215711692891
p_ssd_mb_med,FULL,0.027077299053705595
p_tab,FULL,0.0
ratio_chl_kd,FULL,0.008861651169343444
ratio_nflh_kd,FULL,0.0024358974358974273
rednir_mean,FULL,0.004615384615384588
rednir_std,FULL,0.001559454191033155
sst,FULL,0.012972660867397729
sst_anom,FULL,0.0007692307692307665
sst_anom_x_chlor_a,FULL,0.005384615384615365
sst_anom_x_fai_mean,FULL,0.004044801352493655
sst_anom_x_kd490,FULL,-0.0006410256410256998
sst_anom_x_month_cos,FULL,0.003225083789355071
sst_anom_x_month_sin,FULL,0.07131733154117671
sst_anom_x_nflh,FULL,-0.003050976800976812
sst_anom_z,FULL,0.0020861880369520635
sst_clim_rm,FULL,-0.001153846153846161
chl_times_nflh,DROP_p_frcnn_r50_med,0.036408973524953515
chlor_a,DROP_p_frcnn_r50_med,0.02051730948789769
fai_mean,DROP_p_frcnn_r50_med,0.0015811965811966088
kd490,DROP_p_frcnn_r50_med,0.017665555598247895
log_chlor_a,DROP_p_frcnn_r50_med,0.01469322344322344
log_kd490,DROP_p_frcnn_r50_med,0.010702075702075691
log_nflh,DROP_p_frcnn_r50_med,-0.005390442890442876
month_cos,DROP_p_frcnn_r50_med,0.0024465811965812324
month_num,DROP_p_frcnn_r50_med,0.008354909313862674
month_sin,DROP_p_frcnn_r50_med,0.003581973581973602
ndwi_mean,DROP_p_frcnn_r50_med,0.008070818070818064
ndwi_std,DROP_p_frcnn_r50_med,0.007947191697191703
nflh,DROP_p_frcnn_r50_med,0.058097769638403664
p_frcnn_mb_med,DROP_p_frcnn_r50_med,0.001153846153846183
p_ssd_mb_med,DROP_p_frcnn_r50_med,0.0008119658119658424
p_tab,DROP_p_frcnn_r50_med,0.0062011599511599515
ratio_chl_kd,DROP_p_frcnn_r50_med,0.017010073260073234
ratio_nflh_kd,DROP_p_frcnn_r50_med,1.6653345369377347e-17
rednir_mean,DROP_p_frcnn_r50_med,0.006051587301587319
rednir_std,DROP_p_frcnn_r50_med,0.003891848624870703
sst,DROP_p_frcnn_r50_med,0.002015551523058506
sst_anom,DROP_p_frcnn_r50_med,0.01916638916638911
sst_anom_x_chlor_a,DROP_p_frcnn_r50_med,0.0011538461538461776
sst_anom_x_fai_mean,DROP_p_frcnn_r50_med,5.551115123125783e-18
sst_anom_x_kd490,DROP_p_frcnn_r50_med,0.01807081807081805
sst_anom_x_month_cos,DROP_p_frcnn_r50_med,0.0019230769230769607
sst_anom_x_month_sin,DROP_p_frcnn_r50_med,0.010387390387390383
sst_anom_x_nflh,DROP_p_frcnn_r50_med,0.006535270285270289
sst_anom_z,DROP_p_frcnn_r50_med,0.001153846153846183
sst_clim_rm,DROP_p_frcnn_r50_med,0.0019230769230769496
