feature,setting,importance_mean
chl_times_nflh,FULL,0.10508612568159001
chlor_a,FULL,0.013742668530564462
fai_mean,FULL,0.008035362073823566
kd490,FULL,0.00023809523809523725
log_chlor_a,FULL,0.005274725274725256
log_kd490,FULL,0.009467248437836672
log_nflh,FULL,0.017944730705078057
month_cos,FULL,0.0
month_num,FULL,0.01940956680557705
month_sin,FULL,0.00609781242463755
ndwi_mean,FULL,-0.003898635477582779
ndwi_std,FULL,0.028691922112974742
nflh,FULL,0.013245988903883689
p_frcnn_mb_med,FULL,0.0
p_frcnn_r50_med,FULL,-0.0003824215711692891
p_ssd_mb_med,FULL,0.027077299053705595
p_tab,FULL,0.0
ratio_chl_kd,FULL,0.008861651169343444
ratio_nflh_kd,FULL,0.0024358974358974273
rednir_mean,FULL,0.004615384615384588
rednir_std,FULL,0.001559454191033155
sst,FULL,0.012972660867397729
sst_anom,FULL,0.0007692307692307665
sst_anom_x_chlor_a,FULL,0.005384615384615365
sst_anom_x_fai_mean,FULL,0.004044801352493655
sst_anom_x_kd490,FULL,-0.0006410256410256998
sst_anom_x_month_cos,FULL,0.003225083789355071
sst_anom_x_month_sin,FULL,0.07131733154117671
sst_anom_x_nflh,FULL,-0.003050976800976812
sst_anom_z,FULL,0.0020861880369520635
sst_clim_rm,FULL,-0.001153846153846161
chl_times_nflh,DROP_p_ssd_mb_med,0.013323733651043812
chlor_a,DROP_p_ssd_mb_med,0.015631282053793466
fai_mean,DROP_p_ssd_mb_med,0.0
kd490,DROP_p_ssd_mb_med,0.00011462896078294204
log_chlor_a,DROP_p_ssd_mb_med,0.006480058403135441
log_kd490,DROP_p_ssd_mb_med,0.0
log_nflh,DROP_p_ssd_mb_med,-0.0017751479289939698
month_cos,DROP_p_ssd_mb_med,0.0026773226773227853
month_num,DROP_p_ssd_mb_med,0.005662601621554952
month_sin,DROP_p_ssd_mb_med,0.0
ndwi_mean,DROP_p_ssd_mb_med,0.0
ndwi_std,DROP_p_ssd_mb_med,0.0
nflh,DROP_p_ssd_mb_med,0.06120135408814202
p_frcnn_mb_med,DROP_p_ssd_mb_med,8.326672684688674e-17
p_frcnn_r50_med,DROP_p_ssd_mb_med,0.012131872966149055
p_tab,DROP_p_ssd_mb_med,0.0
ratio_chl_kd,DROP_p_ssd_mb_med,0.002395104895104999
ratio_nflh_kd,DROP_p_ssd_mb_med,0.0
rednir_mean,DROP_p_ssd_mb_med,1.1102230246251565e-16
rednir_std,DROP_p_ssd_mb_med,0.00028144193754102713
sst,DROP_p_ssd_mb_med,0.004221038343930073
sst_anom,DROP_p_ssd_mb_med,0.0008791208791209704
sst_anom_x_chlor_a,DROP_p_ssd_mb_med,0.0
sst_anom_x_fai_mean,DROP_p_ssd_mb_med,-0.0020710059171596684
sst_anom_x_kd490,DROP_p_ssd_mb_med,0.0005586080586081176
sst_anom_x_month_cos,DROP_p_ssd_mb_med,0.0036534628644358303
sst_anom_x_month_sin,DROP_p_ssd_mb_med,8.326672684688674e-17
sst_anom_x_nflh,DROP_p_ssd_mb_med,-0.00010566356720196347
sst_anom_z,DROP_p_ssd_mb_med,-0.0011834319526625892
sst_clim_rm,DROP_p_ssd_mb_med,8.326672684688674e-17
