feature,setting,importance_mean
chl_times_nflh,FULL,0.10508612568159001
chlor_a,FULL,0.013742668530564462
fai_mean,FULL,0.008035362073823566
kd490,FULL,0.00023809523809523725
log_chlor_a,FULL,0.005274725274725256
log_kd490,FULL,0.009467248437836672
log_nflh,FULL,0.017944730705078057
month_cos,FULL,0.0
month_num,FULL,0.01940956680557705
month_sin,FULL,0.00609781242463755
ndwi_mean,FULL,-0.003898635477582779
ndwi_std,FULL,0.028691922112974742
nflh,FULL,0.013245988903883689
p_frcnn_mb_med,FULL,0.0
p_frcnn_r50_med,FULL,-0.0003824215711692891
p_ssd_mb_med,FULL,0.027077299053705595
p_tab,FULL,0.0
ratio_chl_kd,FULL,0.008861651169343444
ratio_nflh_kd,FULL,0.0024358974358974273
rednir_mean,FULL,0.004615384615384588
rednir_std,FULL,0.001559454191033155
sst,FULL,0.012972660867397729
sst_anom,FULL,0.0007692307692307665
sst_anom_x_chlor_a,FULL,0.005384615384615365
sst_anom_x_fai_mean,FULL,0.004044801352493655
sst_anom_x_kd490,FULL,-0.0006410256410256998
sst_anom_x_month_cos,FULL,0.003225083789355071
sst_anom_x_month_sin,FULL,0.07131733154117671
sst_anom_x_nflh,FULL,-0.003050976800976812
sst_anom_z,FULL,0.0020861880369520635
sst_clim_rm,FULL,-0.001153846153846161
chl_times_nflh,DROP_p_tab,0.03547988663581662
chlor_a,DROP_p_tab,0.00824175824175824
fai_mean,DROP_p_tab,-0.003461538461538416
kd490,DROP_p_tab,0.013445512820512817
log_chlor_a,DROP_p_tab,0.009113247863247863
log_kd490,DROP_p_tab,0.007240537240537243
log_nflh,DROP_p_tab,-0.008851981351981324
month_cos,DROP_p_tab,0.0001388888888889328
month_num,DROP_p_tab,0.005662601621554991
month_sin,DROP_p_tab,-0.0021338383838383377
ndwi_mean,DROP_p_tab,-0.0026923076923076605
ndwi_std,DROP_p_tab,3.3306690738754695e-17
nflh,DROP_p_tab,0.05311011840075245
p_frcnn_mb_med,DROP_p_tab,-0.002649572649572607
p_frcnn_r50_med,DROP_p_tab,0.008997252747252733
p_ssd_mb_med,DROP_p_tab,-0.0034615384615384105
ratio_chl_kd,DROP_p_tab,0.009088827838827845
ratio_nflh_kd,DROP_p_tab,1.6653345369377347e-17
rednir_mean,DROP_p_tab,-0.0006410256410255999
rednir_std,DROP_p_tab,-0.0031166983836762806
sst,DROP_p_tab,0.002297908055415055
sst_anom,DROP_p_tab,0.016019536019535985
sst_anom_x_chlor_a,DROP_p_tab,-0.0007692307692307388
sst_anom_x_fai_mean,DROP_p_tab,-0.0003846153846153777
sst_anom_x_kd490,DROP_p_tab,0.0021367521367521734
sst_anom_x_month_cos,DROP_p_tab,0.0008165445665446136
sst_anom_x_month_sin,DROP_p_tab,0.0018467643467643847
sst_anom_x_nflh,DROP_p_tab,0.0013782051282051565
sst_anom_z,DROP_p_tab,-0.001153846153846122
sst_clim_rm,DROP_p_tab,-0.0019230769230768995
