tile,hab_label,p_frcnn_r50
S2A_MSIL2A_20170606T065621_R063_T39QXG_20210209T205041_0000.jpg,1,
S2A_MSIL2A_20170626T065621_R063_T39QXG_20210210T014612_0000.jpg,0,
S2A_MSIL2A_20170805T065621_R063_T39QXG_20210210T194556_0000.jpg,0,0.5074470043182373
S2A_MSIL2A_20170825T065621_R063_T39QXG_20210201T094547_0000.jpg,1,0.5074470043182373
S2A_MSIL2A_20180112T070231_R063_T39QXG_20201014T050638_0000.jpg,0,0.9553364515304564
S2A_MSIL2A_20180201T070111_R063_T39QXG_20201013T174623_0000.jpg,1,
S2A_MSIL2A_20180211T070021_R063_T39QXG_20201026T022414_0000.jpg,0,
S2A_MSIL2A_20180221T065911_R063_T39QXG_20201013T234500_0000.jpg,1,
S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0000.jpg,1,0.8830333948135376
S2A_MSIL2A_20180313T065651_R063_T39QXG_20201013T082101_0000.jpg,0,0.8830333948135376
S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706_0000.jpg,0,0.8830333948135376
S2A_MSIL2A_20180701T065621_R063_T39QXG_20201011T104015_0000.jpg,1,0.4354408979415893
S2A_MSIL2A_20180820T065621_R063_T39QXG_20201011T042051_0000.jpg,0,
S2A_MSIL2A_20180830T065621_R063_T39QXG_20201103T141110_0000.jpg,1,
S2A_MSIL2A_20180909T065621_R063_T39QXG_20201008T231028_0000.jpg,1,
S2A_MSIL2A_20180919T065621_R063_T39QXG_20201009T024121_0000.jpg,0,
S2A_MSIL2A_20180929T065651_R063_T39QXG_20201009T060705_0000.jpg,0,
S2A_MSIL2A_20190107T070251_R063_T39QXG_20201007T232849_0000.jpg,0,0.9635084271430968
S2A_MSIL2A_20190117T070221_R063_T39QXG_20201008T021414_0000.jpg,1,0.9635084271430968
S2A_MSIL2A_20190127T070141_R063_T39QXG_20201008T050026_0000.jpg,0,0.9635084271430968
S2A_MSIL2A_20190206T070051_R063_T39QXG_20201007T142408_0000.jpg,1,
S2A_MSIL2A_20190226T065841_R063_T39QXG_20201007T204648_0000.jpg,1,
S2A_MSIL2A_20190308T065721_R063_T39QXG_20201007T042258_0000.jpg,0,
S2A_MSIL2A_20190318T065621_R063_T39QXG_20201007T074707_0000.jpg,1,
S2A_MSIL2A_20190815T065631_R063_T39QXG_20201005T003451_0000.jpg,1,0.979488730430603
S2A_MSIL2A_20190825T065621_R063_T39QXG_20201005T043538_0000.jpg,1,0.979488730430603
S2A_MSIL2A_20190904T065621_R063_T39QXG_20201004T090539_0000.jpg,1,
S2A_MSIL2A_20200102T070301_R063_T39QXG_20201002T215142_0000.jpg,1,
S2A_MSIL2A_20200112T070241_R063_T39QXG_20201002T173508_0000.jpg,0,
S2A_MSIL2A_20200122T070201_R063_T39QXG_20201002T050518_0000.jpg,1,
S2A_MSIL2A_20200201T070111_R063_T39QXG_20200930T073942_0000.jpg,0,
S2A_MSIL2A_20200221T065911_R063_T39QXG_20200927T132322_0000.jpg,0,
S2A_MSIL2A_20200302T065801_R063_T39QXG_20200926T020245_0000.jpg,1,0.983535647392273
S2A_MSIL2A_20200312T065651_R063_T39QXG_20201006T204613_0000.jpg,0,0.983535647392273
S2A_MSIL2A_20200322T065621_R063_T39QXG_20201014T192405_0000.jpg,0,0.983535647392273
