feature,importance_mean,importance_std
nflh,0.04857949647114989,0.00963725548016903
month_sin,0.02567805925074619,0.008105339754449744
log_kd490,0.021278616503186062,0.001782732585103526
chl_times_nflh,0.011234478134295586,0.0070432765942832
p_tab,0.010985757681184009,0.001982097827588351
sst_anom_x_kd490,0.00015734412117778261,0.0012043255694918651
kd490,0.00013809887234296584,0.0026592591019110002
ratio_nflh_kd,3.609324969676327e-05,0.00013504857434057063
rednir_std,0.0,0.0
sst_anom_x_fai_mean,0.0,0.0
ratio_chl_kd,0.0,0.0
log_nflh,0.0,0.0
sst_clim_rm,0.0,0.0
p_frcnn_r50_med,0.0,0.0
month_num,0.0,0.0
ndwi_std,0.0,0.0
sst,0.0,0.0
chlor_a,0.0,0.0
ndwi_mean,0.0,0.0
rednir_mean,0.0,0.0
fai_mean,0.0,0.0
p_ssd_mb_med,0.0,0.0
p_frcnn_mb_med,0.0,0.0
sst_anom_x_month_cos,0.0,0.0
log_chlor_a,-5.423170926175391e-05,0.0034889331567803453
sst_anom_x_nflh,-0.00017959721490556912,0.00038047279549472383
sst_anom_x_month_sin,-0.0024854189943133895,0.003854694991037226
sst_anom_z,-0.0028428228599305235,0.0029774169816930694
month_cos,-0.006239408757762151,0.0024488043423731435
sst_anom_x_chlor_a,-0.01061154670368838,0.00845877660182474
sst_anom,-0.024081184405877136,0.021227365855066824
