chip_id,p_frcnn_mb,p_frcnn_mb_count
1,0.13181085884571075,5
10,0.14892582595348358,9
11,0.14566564559936523,10
12,0.21606583893299103,7
13,0.24172139167785645,14
14,0.3652317225933075,10
15,0.3342893719673157,16
16,0.1341497153043747,6
17,0.15305383503437042,9
18,0.33273938298225403,7
19,0.34043246507644653,20
2,0.2311226725578308,14
20,0.23164057731628418,5
21,0.11998597532510757,10
22,0.1679440587759018,9
23,0.21990162134170532,7
24,0.21428963541984558,10
25,0.17914848029613495,3
26,0.08351307362318039,2
27,0.22677592933177948,3
28,0.16593042016029358,6
29,0.23973695933818817,12
3,0.24128593504428864,3
30,0.366296648979187,17
31,0.15459302067756653,3
32,0.19301551580429077,6
33,0.14213334023952484,6
34,0.46423959732055664,27
35,0.304568350315094,8
36,0.2209579199552536,8
37,0.26691800355911255,14
38,0.285177081823349,15
39,0.1539103388786316,5
4,0.11759670823812485,1
40,0.24147909879684448,8
41,0.21311362087726593,14
42,0.37685415148735046,26
43,0.12569111585617065,3
44,0.4400812089443207,24
45,0.379792720079422,21
46,0.11657634377479553,1
47,0.1349208503961563,6
48,0.42043083906173706,20
49,0.24462033808231354,4
5,0.23079031705856323,13
50,0.2950339913368225,21
51,0.21288815140724182,4
52,0.29293352365493774,29
53,0.13151343166828156,5
54,0.42680850625038147,13
55,0.3285049498081207,21
56,0.18026292324066162,3
57,0.2781272530555725,11
58,0.2952426075935364,20
59,0.2020796686410904,5
6,0.11469538509845734,5
60,0.14545315504074097,7
61,0.15160641074180603,9
62,0.2765408158302307,22
63,0.26867571473121643,14
64,0.240417942404747,24
65,0.34076571464538574,6
66,0.1508672833442688,5
67,0.42298492789268494,24
68,0.352145254611969,22
69,0.17294715344905853,5
7,0.17943277955055237,6
70,0.2798701822757721,14
71,0.12487751245498657,3
72,0.3278535306453705,15
73,0.2906070053577423,41
8,0.3159480392932892,17
9,0.15080536901950836,19
