chip_id,p_frcnn_r50,p_frcnn_r50_count
1,0.8929529190063477,9
10,0.9506603479385376,47
11,0.9701341986656189,8
12,0.6144904494285583,14
13,0.40040355920791626,8
14,0.8504784107208252,17
15,0.9711928963661194,4
16,0.9553364515304565,13
17,0.8779841065406799,8
18,0.7888997197151184,34
19,0.9822163581848145,8
2,0.6774470210075378,11
20,0.9780617952346802,10
21,0.43544089794158936,7
22,0.9086105823516846,38
23,0.9635084271430969,30
24,0.8771956562995911,18
25,0.6174396872520447,10
26,0.979488730430603,8
27,0.339691698551178,6
28,0.8886969685554504,7
29,0.48197925090789795,9
3,0.4475196301937103,8
30,0.983535647392273,16
31,0.9210686683654785,13
32,0.6863490343093872,8
33,0.9636088013648987,6
34,0.9747042655944824,38
35,0.9766149520874023,5
36,0.5055291652679443,12
37,0.7133057117462158,12
38,0.9792654514312744,8
39,0.9365875124931335,7
4,0.9480471014976501,7
40,0.9528538584709167,6
41,0.8566893339157104,28
42,0.9538952112197876,21
43,0.3332739770412445,8
44,0.9760466814041138,17
45,0.9754845499992371,11
46,0.9674692749977112,7
47,0.9417274594306946,6
48,0.9750441312789917,15
49,0.9417728185653687,8
5,0.7113972306251526,26
50,0.9349477887153625,12
51,0.9530699253082275,13
52,0.9698286056518555,17
53,0.9168583154678345,10
54,0.9590640068054199,12
55,0.9750342965126038,8
56,0.7692483067512512,4
57,0.9685680270195007,10
58,0.966120719909668,13
59,0.8265953660011292,6
6,0.9588730931282043,7
60,0.8564781546592712,9
61,0.9360026121139526,6
62,0.9635634422302246,13
63,0.8187693357467651,20
64,0.9469039440155029,10
65,0.955583930015564,14
66,0.945824384689331,7
67,0.9429364800453186,24
68,0.7528711557388306,22
69,0.9110392332077026,9
7,0.9429033994674683,7
70,0.6938608884811401,20
71,0.8150762915611267,5
72,0.9700173139572144,12
73,0.9159582853317261,31
8,0.9817824959754944,8
9,0.8790379166603088,24
