chip_id,p_ssd_mb,p_ssd_mb_count
1,0.625485897064209,104
10,0.48322594165802,81
11,0.6393243670463562,101
12,0.436570405960083,108
13,0.509739875793457,87
14,0.45184195041656494,93
15,0.7808401584625244,118
16,0.4333246350288391,87
17,0.5718271136283875,101
18,0.4527932107448578,99
19,0.6619933843612671,111
2,0.3882715702056885,100
20,0.6414833068847656,103
21,0.34424710273742676,106
22,0.46011003851890564,91
23,0.507189154624939,90
24,0.4661790132522583,78
25,0.4104677140712738,101
26,0.48256462812423706,110
27,0.34712931513786316,118
28,0.6027114391326904,109
29,0.3305568993091583,101
3,0.41110607981681824,115
30,0.7602150440216064,102
31,0.6490811109542847,102
32,0.39350083470344543,102
33,0.7728505730628967,101
34,0.8190670013427734,86
35,0.6273236274719238,100
36,0.4078102111816406,106
37,0.35285669565200806,99
38,0.6380824446678162,127
39,0.5145718455314636,103
4,0.5721837878227234,111
40,0.6945462226867676,97
41,0.41981032490730286,93
42,0.6241294741630554,69
43,0.46659165620803833,110
44,0.6017656922340393,102
45,0.7331520915031433,104
46,0.611244797706604,102
47,0.6187177896499634,97
48,0.7670169472694397,104
49,0.5966585278511047,102
5,0.45512473583221436,84
50,0.5245226621627808,101
51,0.5799945592880249,104
52,0.7035166025161743,111
53,0.8237658143043518,97
54,0.6288833022117615,93
55,0.6112419962882996,113
56,0.40309879183769226,109
57,0.4926832318305969,98
58,0.6550579071044922,80
59,0.43418481945991516,101
6,0.649143397808075,113
60,0.6385074853897095,100
61,0.7208238840103149,100
62,0.6296101212501526,86
63,0.3790041208267212,87
64,0.6480749845504761,82
65,0.6122208833694458,96
66,0.44552817940711975,105
67,0.6854487657546997,92
68,0.44421905279159546,86
69,0.45029187202453613,90
7,0.6413895487785339,114
70,0.34724849462509155,104
71,0.416281133890152,102
72,0.5499057769775391,96
73,0.6243279576301575,96
8,0.7436006665229797,109
9,0.4111899435520172,93
