feature,mean_abs_shap
chlor_a_anom_rm,0.022480918762699375
ratio_nflh_kd,0.021205544411571006
log_nflh,0.021139130075203804
chl_times_nflh_z_rm,0.020845905287437086
chl_times_nflh_anom_rm,0.019608671098499095
nflh,0.01889471169065824
ratio_chl_kd_anom_rm,0.017977382815414233
log_chlor_a_anom_rm,0.017320459667761485
nflh_anom_rm,0.016874959209846975
chlor_a_z_rm,0.016450683234811733
log_chlor_a_z_rm,0.015061968613365702
kd490_anom_rm,0.0146089784155884
nflh_z_rm,0.014424311272501178
log_nflh_z_rm,0.01336524688194718
log_kd490_anom_rm,0.012988716218689942
log_chlor_a,0.012480428631657185
ratio_chl_kd,0.011641052644562564
kd490_z_rm,0.010683617660503065
log_kd490_z_rm,0.010160225655637923
log_nflh_anom_rm,0.009821992307822462
chlor_a,0.009546507001427356
kd490,0.009431971756712128
chl_times_nflh,0.009361316840984546
ratio_nflh_kd_anom_rm,0.00885171223064581
ratio_nflh_kd_rm_mean,0.008780175079182129
ratio_chl_kd_z_rm,0.007560698024021949
log_kd490,0.0061784131373370495
nflh_rm_mean,0.006088673706610086
chl_times_nflh_rm_mean,0.005280016679920412
log_nflh_rm_mean,0.005129171981290007
ratio_chl_kd_rm_mean,0.0047953481365030845
sst_rm_mean,0.004483280993735373
chlor_a_rm_mean,0.0036964665464998304
kd490_rm_mean,0.003672131156750624
ratio_nflh_kd_z_rm,0.003635404591465389
log_kd490_rm_mean,0.003612872400180225
log_chlor_a_rm_mean,0.003532399580674153
sst,0.0034057529143294686
sst_anom_anom_rm,0.003202020845770638
sst_anom_z_anom_rm,0.0031810904658075194
sst_anom_rm,0.003148748240749473
ndwi_mean_anom_rm,0.0031066032054870877
sst_anom_x_kd490_anom_rm,0.003033641840198203
month_sin,0.0026728716208489116
sst_anom,0.00264980904907259
sst_anom_x_chlor_a,0.002629208951640485
sst_anom_x_fai_mean_anom_rm,0.002607927819244888
month_sin_rm_mean,0.002572994371979912
sst_anom_x_kd490,0.002539738233687888
sst_anom_x_month_sin,0.0025114017033530094
sst_anom_x_nflh_anom_rm,0.0024699999970273006
sst_anom_x_fai_mean,0.002433230637697915
fai_mean,0.0024267112397769737
sst_anom_x_month_cos,0.0024197884091633113
sst_anom_x_nflh,0.0024027442696153705
ndwi_mean_z_rm,0.0023912418301938725
sst_clim_rm,0.002376053851070291
rednir_mean_rm_mean,0.0023733386665618326
sst_anom_z,0.002336748084653198
sst_anom_x_kd490_z_rm,0.0023160319858428107
ndwi_mean,0.0022531379148786838
rednir_mean,0.0021883828764584865
sst_anom_x_chlor_a_anom_rm,0.002160239249624521
fai_mean_rm_mean,0.0020865722874560204
fai_mean_anom_rm,0.002000528180555268
sst_anom_x_nflh_rm_mean,0.0019349029154555745
sst_anom_x_fai_mean_z_rm,0.001922886742505338
sst_clim_rm_rm_mean,0.0018814831863899941
