feature,importance
nflh,1.0414133406365211
p_frcnn_r50_med,0.8377986158848241
chlor_a,0.6808009148734881
chl_times_nflh,0.5873198693165058
ratio_chl_kd,0.5808768528343466
rednir_mean,0.5753161363373887
ratio_nflh_kd,0.5043461370003128
month_cos,0.42959708822273024
p_frcnn_mb_med,0.4099648976727617
month_sin,0.3984091115612248
log_nflh,0.3702444658226866
rednir_std,0.2950766819235987
p_tab,0.2793197254431716
log_chlor_a,0.26228300174004
kd490,0.21164240152781133
log_kd490,0.16021701711384123
sst,0.13711793237094963
ndwi_std,0.12551313219767976
fai_mean,0.12009296636579168
ndwi_mean,0.10918878679545278
p_ssd_mb_med,0.10657345255749501
