tile,scene_id,datetime,ndwi_mean,ndwi_std,fai_mean,fai_std,rednir_mean,rednir_std,valid_px,chip_id,month_key,chlor_a,kd490,flh,sst,nflh,year,month_num,month_sin,month_cos,season,season_winter,season_spring,season_summer,season_autumn,log_kd490,log_chlor_a,log_nflh,ratio_chl_kd,chl_times_nflh,ratio_nflh_kd,hab_prob,month,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med,hab_label
S2A_MSIL2A_20170101T064252_R120_T40QFM_20210529T105726_0000.jpg,S2A_MSIL2A_20170101T064252_R120_T40QFM_20210529T105726,2017-01-01 06:42:52.026000+00:00,-0.2981028258800506,0.0,0.0021327883005142,0.0,0.7176926732063293,1.1920928955078125e-07,16384,2017-01_ab22c771bfd74f02,2017-01,0.467816,0.0708,0.1879,26.74,0.1879,2017,1,0.4999999999999999,0.8660254037844387,winter,1,0,0,0,-2.647896278282463,-0.7596802227662502,-1.6718453725627174,6.607570621468927,0.0879026264,2.653954802259887,0.5038687024287777,1,0.9125231504440308,0.1835961490869522,0.4382094144821167,0
S2A_MSIL2A_20170101T064252_R120_T40QFM_20210529T105726_0001.jpg,S2A_MSIL2A_20170101T064252_R120_T40QFM_20210529T105726,2017-01-01 06:42:52.026000+00:00,-0.2981028258800506,0.0,0.0021327883005142,0.0,0.7176926732063293,1.1920928955078125e-07,16384,2017-01_a39193a906d0a0da,2017-01,0.467816,0.0708,0.1879,26.74,0.1879,2017,1,0.4999999999999999,0.8660254037844387,winter,1,0,0,0,-2.647896278282463,-0.7596802227662502,-1.6718453725627174,6.607570621468927,0.0879026264,2.653954802259887,0.5197345778050309,1,0.8528618216514587,0.2111369967460632,0.4027502238750458,0
S2A_MSIL2A_20170111T064231_R120_T40QFM_20210530T050932_0000.jpg,S2A_MSIL2A_20170111T064231_R120_T40QFM_20210530T050932,2017-01-11 06:42:31.026000+00:00,-0.0808432549238205,0.0,0.0058655738830566,0.0,0.9495858550071716,5.960464477539065e-08,16384,2017-01_4c171686ad3c7764,2017-01,0.518257,0.0762,0.267205,26.275,0.267205,2017,1,0.4999999999999999,0.8660254037844387,winter,1,0,0,0,-2.574393816289537,-0.6572840207627731,-1.319739124919874,6.8012729658792646,0.138480861685,3.5066272965879266,0.6706246269910756,1,0.954472839832306,0.207790195941925,0.3542052805423736,0
S2A_MSIL2A_20170111T064231_R120_T40QFM_20210530T050932_0001.jpg,S2A_MSIL2A_20170111T064231_R120_T40QFM_20210530T050932,2017-01-11 06:42:31.026000+00:00,-0.0808432549238205,0.0,0.0058655738830566,0.0,0.9495858550071716,5.960464477539065e-08,16384,2017-01_4490ac62faa7291e,2017-01,0.518257,0.0762,0.267205,26.275,0.267205,2017,1,0.4999999999999999,0.8660254037844387,winter,1,0,0,0,-2.574393816289537,-0.6572840207627731,-1.319739124919874,6.8012729658792646,0.138480861685,3.5066272965879266,0.65755010246373,1,0.9062424898147584,0.1972620189189911,0.4219317734241485,0
S2A_MSIL2A_20170210T064011_R120_T40QFM_20210208T095409_0000.jpg,S2A_MSIL2A_20170210T064011_R120_T40QFM_20210208T095409,2017-02-10 06:40:11.026000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,2017-02_bc6a6b87ac639f04,2017-02,0.225767,0.05,0.0887051,27.385,0.0887051,2017,2,0.8660254037844386,0.5000000000000001,winter,1,0,0,0,-2.995732273553991,-1.488251784979866,-2.422437894137992,4.515339999999999,0.0200266843117,1.7741019999999998,0.2575097894373971,2,0.9475038647651672,0.2299501448869705,0.4198513329029083,0
S2A_MSIL2A_20170210T064011_R120_T40QFM_20210208T095409_0001.jpg,S2A_MSIL2A_20170210T064011_R120_T40QFM_20210208T095409,2017-02-10 06:40:11.026000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,2017-02_aec3a9285961ce2a,2017-02,0.225767,0.05,0.0887051,27.385,0.0887051,2017,2,0.8660254037844386,0.5000000000000001,winter,1,0,0,0,-2.995732273553991,-1.488251784979866,-2.422437894137992,4.515339999999999,0.0200266843117,1.7741019999999998,0.2688753561762807,2,0.9353949427604676,0.192742109298706,0.3845047056674957,0
S2A_MSIL2A_20170302T064011_R120_T40QFM_20210208T184836_0000.jpg,S2A_MSIL2A_20170302T064011_R120_T40QFM_20210208T184836,2017-03-02 06:40:11.026000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,2017-03_06dc3848fbddc431,2017-03,0.184706,0.0436,0.0567451,28.81,0.0567451,2017,3,1.0,6.123233995736766e-17,spring,0,1,0,0,-3.1326981286271485,-1.6889899071935817,-2.869185969960784,4.236376146788991,0.0104811604406,1.301493119266055,0.273661836171406,3,0.956365406513214,0.2049083113670349,0.4481545686721802,0
S2A_MSIL2A_20170302T064011_R120_T40QFM_20210208T184836_0001.jpg,S2A_MSIL2A_20170302T064011_R120_T40QFM_20210208T184836,2017-03-02 06:40:11.026000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,2017-03_030ca562bb03ea0f,2017-03,0.184706,0.0436,0.0567451,28.81,0.0567451,2017,3,1.0,6.123233995736766e-17,spring,0,1,0,0,-3.1326981286271485,-1.6889899071935817,-2.869185969960784,4.236376146788991,0.0104811604406,1.301493119266055,0.273661836171406,3,0.9254938960075378,0.2086662650108337,0.4321795105934143,0
S2A_MSIL2A_20170312T063641_R120_T40QFM_20210208T214529_0000.jpg,S2A_MSIL2A_20170312T063641_R120_T40QFM_20210208T214529,2017-03-12 06:36:41.026000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,2017-03_2ac32fd3632198b1,2017-03,0.139983,0.0394,0.0527501,27.98,0.0527501,2017,3,1.0,6.123233995736766e-17,spring,0,1,0,0,-3.233989462678249,-1.9662342923173073,-2.942189610893161,3.552868020304569,0.0073841172483,1.3388350253807109,0.2327864403343589,3,0.9468043446540833,0.2357120513916015,0.4224361479282379,0
S2A_MSIL2A_20170312T063641_R120_T40QFM_20210208T214529_0001.jpg,S2A_MSIL2A_20170312T063641_R120_T40QFM_20210208T214529,2017-03-12 06:36:41.026000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,2017-03_a8caefaed09b37cf,2017-03,0.139983,0.0394,0.0527501,27.98,0.0527501,2017,3,1.0,6.123233995736766e-17,spring,0,1,0,0,-3.233989462678249,-1.9662342923173073,-2.942189610893161,3.552868020304569,0.0073841172483,1.3388350253807109,0.2128393948160042,3,0.9156160950660706,0.2016279548406601,0.3672435283660888,0
S2A_MSIL2A_20170401T063621_R120_T40QFM_20210209T033740_0000.jpg,S2A_MSIL2A_20170401T063621_R120_T40QFM_20210209T033740,2017-04-01 06:36:21.026000+00:00,-0.1267727762460708,1.4901161193847656e-08,0.0069081932306289,0.0,0.8796187043190002,1.1920928955078125e-07,16384,2017-04_f82b959569fd0b30,2017-04,0.158089,0.0394,0.0324349,30.665,0.0324349,2017,4,0.8660254037844387,-0.4999999999999998,spring,0,1,0,0,-3.233989462678249,-1.844597113404832,-3.4285202754111266,4.012411167512691,0.0051276009061,0.8232208121827412,0.2749415104848425,4,0.958092212677002,0.2826761603355407,0.4374551177024841,0
