                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9852,                 4.4991,                 4.4644,                0.00208,                0.83333,                0.00918,                0.00403,                 2.6471,                 4.4105,                 4.1586,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.4203,                 5.4908,                 4.6651,                0.00208,                0.83333,                0.01612,                0.00546,                 2.6477,                 4.4109,                 4.1582,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 3.1797,                 4.8189,                 4.3613,                0.00208,                0.83333,                0.02886,                0.00666,                 2.6481,                 4.4059,                 4.1581,             0.00015366,             0.00015366,             0.00015366
                      4,                 3.3828,                 4.4609,                  4.464,                0.00208,                0.83333,                0.01462,                0.00566,                 2.6487,                 4.3978,                 4.1582,             0.00020693,             0.00020693,             0.00020693
                      5,                  2.862,                 4.3791,                  4.307,                0.00208,                0.83333,                0.01616,                0.00552,                 2.6501,                 4.3886,                 4.1587,             0.00025782,             0.00025782,             0.00025782
                      6,                 3.2308,                 4.1439,                 4.2581,                0.00208,                0.83333,                 0.0135,                0.00487,                  2.651,                 4.3804,                 4.1589,             0.00030634,             0.00030634,             0.00030634
                      7,                 3.0903,                 4.9099,                 4.2554,                0.00208,                0.83333,                0.01234,                0.00454,                 2.6604,                 4.3637,                 4.1603,             0.00035248,             0.00035248,             0.00035248
                      8,                 2.9861,                 4.1083,                 4.1928,                0.00208,                0.83333,                0.00797,                0.00354,                 2.6564,                 4.3626,                 4.1611,             0.00039624,             0.00039624,             0.00039624
                      9,                  2.881,                 4.2722,                 4.2226,                0.00208,                0.83333,                0.01118,                0.00366,                 2.6558,                  4.339,                 4.1633,             0.00043763,             0.00043763,             0.00043763
                     10,                 3.3363,                 4.3196,                 4.1861,                0.00208,                0.83333,                0.00901,                0.00367,                 2.6534,                 4.3252,                 4.1644,             0.00047664,             0.00047664,             0.00047664
                     11,                 2.9432,                  5.019,                  4.098,                0.00208,                0.83333,                0.00929,                0.00378,                 2.6466,                 4.2966,                  4.167,             0.00051328,             0.00051328,             0.00051328
                     12,                 3.1238,                  3.948,                 4.0701,                0.00208,                0.83333,                0.01002,                0.00384,                 2.6376,                  4.284,                 4.1689,             0.00054754,             0.00054754,             0.00054754
                     13,                 3.0352,                 3.9679,                 4.0124,                0.00208,                0.83333,                0.01019,                0.00391,                 2.6253,                 4.2321,                 4.1756,             0.00057942,             0.00057942,             0.00057942
                     14,                 2.9072,                 3.5617,                 3.9817,                0.00208,                0.83333,                0.01031,                0.00424,                 2.6198,                 4.2008,                 4.1811,             0.00060893,             0.00060893,             0.00060893
                     15,                 3.1549,                 3.8834,                 4.0236,                0.00208,                0.83333,                0.01047,                0.00448,                  2.603,                 4.1595,                  4.196,             0.00063606,             0.00063606,             0.00063606
                     16,                  3.295,                 4.2159,                 3.9651,                0.00208,                0.83333,                0.01056,                0.00434,                 2.5935,                 4.1492,                 4.2119,             0.00066082,             0.00066082,             0.00066082
                     17,                 2.9566,                 3.7193,                  3.977,                0.00208,                0.83333,                0.01309,                0.00467,                 2.6186,                 4.1541,                 4.2411,              0.0006832,              0.0006832,              0.0006832
