scene_id,datetime,collection,cloudcov,tile,xmin,ymin,xmax,ymax
S2A_MSIL2A_20240930T070711_R106_T39QXG_20240930T104948,2024-09-30 07:07:11.024000+00:00,sentinel-2-l2a,2.382458,S2A_MSIL2A_20240930T070711_R106_T39QXG_20240930T104948_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20240930T070711_R106_T39QXG_20240930T104948,2024-09-30 07:07:11.024000+00:00,sentinel-2-l2a,2.382458,S2A_MSIL2A_20240930T070711_R106_T39QXG_20240930T104948_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20240927T065641_R063_T39QXG_20240927T112652,2024-09-27 06:56:41.024000+00:00,sentinel-2-l2a,3.38622,S2A_MSIL2A_20240927T065641_R063_T39QXG_20240927T112652_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20240927T065641_R063_T39QXG_20240927T112652,2024-09-27 06:56:41.024000+00:00,sentinel-2-l2a,3.38622,S2A_MSIL2A_20240927T065641_R063_T39QXG_20240927T112652_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20240925T070619_R106_T39QXG_20240925T095135,2024-09-25 07:06:19.024000+00:00,sentinel-2-l2a,0.595985,S2B_MSIL2A_20240925T070619_R106_T39QXG_20240925T095135_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20240925T070619_R106_T39QXG_20240925T095135,2024-09-25 07:06:19.024000+00:00,sentinel-2-l2a,0.595985,S2B_MSIL2A_20240925T070619_R106_T39QXG_20240925T095135_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20240922T065619_R063_T39QXG_20240922T102739,2024-09-22 06:56:19.024000+00:00,sentinel-2-l2a,0.048931,S2B_MSIL2A_20240922T065619_R063_T39QXG_20240922T102739_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20240922T065619_R063_T39QXG_20240922T102739,2024-09-22 06:56:19.024000+00:00,sentinel-2-l2a,0.048931,S2B_MSIL2A_20240922T065619_R063_T39QXG_20240922T102739_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20240912T065619_R063_T39QXG_20240912T130211,2024-09-12 06:56:19.024000+00:00,sentinel-2-l2a,0.037137,S2B_MSIL2A_20240912T065619_R063_T39QXG_20240912T130211_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20240912T065619_R063_T39QXG_20240912T130211,2024-09-12 06:56:19.024000+00:00,sentinel-2-l2a,0.037137,S2B_MSIL2A_20240912T065619_R063_T39QXG_20240912T130211_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
