scene_id,datetime,collection,cloudcov,tile,xmin,ymin,xmax,ymax
S2A_MSIL2A_20230330T070621_R106_T39QXG_20240824T190724,2023-03-30 07:06:21.024000+00:00,sentinel-2-l2a,3.022005,S2A_MSIL2A_20230330T070621_R106_T39QXG_20240824T190724_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230330T070621_R106_T39QXG_20240824T190724,2023-03-30 07:06:21.024000+00:00,sentinel-2-l2a,3.022005,S2A_MSIL2A_20230330T070621_R106_T39QXG_20240824T190724_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230330T070621_R106_T39QXG_20230330T123758,2023-03-30 07:06:21.024000+00:00,sentinel-2-l2a,3.006787,S2A_MSIL2A_20230330T070621_R106_T39QXG_20230330T123758_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230330T070621_R106_T39QXG_20230330T123758,2023-03-30 07:06:21.024000+00:00,sentinel-2-l2a,3.006787,S2A_MSIL2A_20230330T070621_R106_T39QXG_20230330T123758_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230325T070629_R106_T39QXG_20240825T043841,2023-03-25 07:06:29.024000+00:00,sentinel-2-l2a,0.318059,S2B_MSIL2A_20230325T070629_R106_T39QXG_20240825T043841_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230325T070629_R106_T39QXG_20240825T043841,2023-03-25 07:06:29.024000+00:00,sentinel-2-l2a,0.318059,S2B_MSIL2A_20230325T070629_R106_T39QXG_20240825T043841_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230325T070629_R106_T39QXG_20230325T122516,2023-03-25 07:06:29.024000+00:00,sentinel-2-l2a,0.325934,S2B_MSIL2A_20230325T070629_R106_T39QXG_20230325T122516_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230325T070629_R106_T39QXG_20230325T122516,2023-03-25 07:06:29.024000+00:00,sentinel-2-l2a,0.325934,S2B_MSIL2A_20230325T070629_R106_T39QXG_20230325T122516_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230322T065629_R063_T39QXG_20240827T110952,2023-03-22 06:56:29.024000+00:00,sentinel-2-l2a,0.058649,S2B_MSIL2A_20230322T065629_R063_T39QXG_20240827T110952_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230322T065629_R063_T39QXG_20240827T110952,2023-03-22 06:56:29.024000+00:00,sentinel-2-l2a,0.058649,S2B_MSIL2A_20230322T065629_R063_T39QXG_20240827T110952_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230322T065629_R063_T39QXG_20230322T124101,2023-03-22 06:56:29.024000+00:00,sentinel-2-l2a,0.059612,S2B_MSIL2A_20230322T065629_R063_T39QXG_20230322T124101_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230322T065629_R063_T39QXG_20230322T124101,2023-03-22 06:56:29.024000+00:00,sentinel-2-l2a,0.059612,S2B_MSIL2A_20230322T065629_R063_T39QXG_20230322T124101_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230320T070621_R106_T39QXG_20240825T184219,2023-03-20 07:06:21.024000+00:00,sentinel-2-l2a,26.077926,S2A_MSIL2A_20230320T070621_R106_T39QXG_20240825T184219_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230320T070621_R106_T39QXG_20240825T184219,2023-03-20 07:06:21.024000+00:00,sentinel-2-l2a,26.077926,S2A_MSIL2A_20230320T070621_R106_T39QXG_20240825T184219_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230320T070621_R106_T39QXG_20230320T132519,2023-03-20 07:06:21.024000+00:00,sentinel-2-l2a,25.990626,S2A_MSIL2A_20230320T070621_R106_T39QXG_20230320T132519_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230320T070621_R106_T39QXG_20230320T132519,2023-03-20 07:06:21.024000+00:00,sentinel-2-l2a,25.990626,S2A_MSIL2A_20230320T070621_R106_T39QXG_20230320T132519_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230317T065621_R063_T39QXG_20230317T125717,2023-03-17 06:56:21.024000+00:00,sentinel-2-l2a,5.103712,S2A_MSIL2A_20230317T065621_R063_T39QXG_20230317T125717_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230317T065621_R063_T39QXG_20230317T125717,2023-03-17 06:56:21.024000+00:00,sentinel-2-l2a,5.103712,S2A_MSIL2A_20230317T065621_R063_T39QXG_20230317T125717_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230315T070649_R106_T39QXG_20240822T162611,2023-03-15 07:06:49.024000+00:00,sentinel-2-l2a,9.003209,S2B_MSIL2A_20230315T070649_R106_T39QXG_20240822T162611_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230315T070649_R106_T39QXG_20240822T162611,2023-03-15 07:06:49.024000+00:00,sentinel-2-l2a,9.003209,S2B_MSIL2A_20230315T070649_R106_T39QXG_20240822T162611_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230312T065709_R063_T39QXG_20240818T170744,2023-03-12 06:57:09.025000+00:00,sentinel-2-l2a,10.83223,S2B_MSIL2A_20230312T065709_R063_T39QXG_20240818T170744_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230312T065709_R063_T39QXG_20240818T170744,2023-03-12 06:57:09.025000+00:00,sentinel-2-l2a,10.83223,S2B_MSIL2A_20230312T065709_R063_T39QXG_20240818T170744_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230312T065709_R063_T39QXG_20230312T141426,2023-03-12 06:57:09.025000+00:00,sentinel-2-l2a,10.732111,S2B_MSIL2A_20230312T065709_R063_T39QXG_20230312T141426_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230312T065709_R063_T39QXG_20230312T141426,2023-03-12 06:57:09.025000+00:00,sentinel-2-l2a,10.732111,S2B_MSIL2A_20230312T065709_R063_T39QXG_20230312T141426_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230307T065731_R063_T39QXG_20240821T003413,2023-03-07 06:57:31.024000+00:00,sentinel-2-l2a,0.077528,S2A_MSIL2A_20230307T065731_R063_T39QXG_20240821T003413_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230307T065731_R063_T39QXG_20240821T003413,2023-03-07 06:57:31.024000+00:00,sentinel-2-l2a,0.077528,S2A_MSIL2A_20230307T065731_R063_T39QXG_20240821T003413_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230307T065731_R063_T39QXG_20230307T123902,2023-03-07 06:57:31.024000+00:00,sentinel-2-l2a,0.072243,S2A_MSIL2A_20230307T065731_R063_T39QXG_20230307T123902_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230307T065731_R063_T39QXG_20230307T123902,2023-03-07 06:57:31.024000+00:00,sentinel-2-l2a,0.072243,S2A_MSIL2A_20230307T065731_R063_T39QXG_20230307T123902_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230305T070759_R106_T39QXG_20240819T194905,2023-03-05 07:07:59.025000+00:00,sentinel-2-l2a,0.064889,S2B_MSIL2A_20230305T070759_R106_T39QXG_20240819T194905_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230305T070759_R106_T39QXG_20240819T194905,2023-03-05 07:07:59.025000+00:00,sentinel-2-l2a,0.064889,S2B_MSIL2A_20230305T070759_R106_T39QXG_20240819T194905_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230305T070759_R106_T39QXG_20230305T131227,2023-03-05 07:07:59.025000+00:00,sentinel-2-l2a,0.08844,S2B_MSIL2A_20230305T070759_R106_T39QXG_20230305T131227_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230305T070759_R106_T39QXG_20230305T131227,2023-03-05 07:07:59.025000+00:00,sentinel-2-l2a,0.08844,S2B_MSIL2A_20230305T070759_R106_T39QXG_20230305T131227_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230228T070831_R106_T39QXG_20230301T183437,2023-02-28 07:08:31.024000+00:00,sentinel-2-l2a,0.29218,S2A_MSIL2A_20230228T070831_R106_T39QXG_20230301T183437_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230228T070831_R106_T39QXG_20230301T183437,2023-02-28 07:08:31.024000+00:00,sentinel-2-l2a,0.29218,S2A_MSIL2A_20230228T070831_R106_T39QXG_20230301T183437_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230225T065851_R063_T39QXG_20230227T033301,2023-02-25 06:58:51.024000+00:00,sentinel-2-l2a,0.128696,S2A_MSIL2A_20230225T065851_R063_T39QXG_20230227T033301_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230225T065851_R063_T39QXG_20230227T033301,2023-02-25 06:58:51.024000+00:00,sentinel-2-l2a,0.128696,S2A_MSIL2A_20230225T065851_R063_T39QXG_20230227T033301_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230223T070859_R106_T39QXG_20230224T030659,2023-02-23 07:08:59.025000+00:00,sentinel-2-l2a,0.121554,S2B_MSIL2A_20230223T070859_R106_T39QXG_20230224T030659_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230223T070859_R106_T39QXG_20230224T030659,2023-02-23 07:08:59.025000+00:00,sentinel-2-l2a,0.121554,S2B_MSIL2A_20230223T070859_R106_T39QXG_20230224T030659_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2A_MSIL2A_20230218T070941_R106_T39QXG_20230220T171033,2023-02-18 07:09:41.024000+00:00,sentinel-2-l2a,0.390765,S2A_MSIL2A_20230218T070941_R106_T39QXG_20230220T171033_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2A_MSIL2A_20230218T070941_R106_T39QXG_20230220T171033,2023-02-18 07:09:41.024000+00:00,sentinel-2-l2a,0.390765,S2A_MSIL2A_20230218T070941_R106_T39QXG_20230220T171033_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230213T071009_R106_T39QXG_20240816T174016,2023-02-13 07:10:09.024000+00:00,sentinel-2-l2a,0.147358,S2B_MSIL2A_20230213T071009_R106_T39QXG_20240816T174016_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230213T071009_R106_T39QXG_20240816T174016,2023-02-13 07:10:09.024000+00:00,sentinel-2-l2a,0.147358,S2B_MSIL2A_20230213T071009_R106_T39QXG_20240816T174016_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
S2B_MSIL2A_20230213T071009_R106_T39QXG_20230213T214633,2023-02-13 07:10:09.024000+00:00,sentinel-2-l2a,0.165104,S2B_MSIL2A_20230213T071009_R106_T39QXG_20230213T214633_0000.jpg,-59973.0,269735.7,-59909.0,269799.7
S2B_MSIL2A_20230213T071009_R106_T39QXG_20230213T214633,2023-02-13 07:10:09.024000+00:00,sentinel-2-l2a,0.165104,S2B_MSIL2A_20230213T071009_R106_T39QXG_20230213T214633_0001.jpg,-59966.6,269742.1,-59915.4,269793.3
